"StarterGhosts"	"RandomGhosts"	"AggressiveGhosts"	"Legacy"	"Legacy2TheReckoning"
"624"	6490	6130	5910	14490	2980
"625"	6510	40410	6770	4580	3290
"626"	2030	18000	15570	12130	3140
"627"	10140	2690	9970	2850	2740
"628"	9830	17010	15670	13660	7490
"629"	8160	25480	16250	13750	1550
"630"	2590	23590	5910	9140	3140
"631"	10750	15700	5910	4310	4690
"632"	13020	30330	20130	9150	1560
"633"	9340	27910	8420	12760	4290
"634"	2080	17570	5110	6450	2940
"635"	7300	24790	5510	16790	3090
"636"	5690	25360	18890	16490	2690
"637"	7490	33680	5910	12750	3140
"638"	8540	23640	15290	12430	3140
"639"	2010	14100	5910	13540	5740
"640"	8340	29810	13000	3360	6150
"641"	9350	9490	3960	4630	3580
"642"	8000	24450	6690	17090	3140
"643"	8890	21460	5910	16140	3140
"644"	6070	8760	21430	14520	1560
"645"	3420	26050	21220	13990	3140
"646"	8130	34200	5910	13600	3140
"647"	2960	27760	22110	15190	3140
"648"	2010	7570	4100	12140	3170
"649"	8080	8220	15800	4160	3140
"650"	5830	13890	7580	11980	3140
"651"	5330	32400	16820	14880	5340
"652"	7890	15600	16940	6160	2580
"653"	7890	34400	3530	17060	2790
"654"	7260	10820	18620	3800	6360
"655"	3790	11930	5910	15350	1770
"656"	2260	24150	4230	17540	3070
"657"	5050	18690	20620	11220	5350
"658"	12900	9970	4160	11980	2740
"659"	9590	32010	18360	13110	3290
"660"	9320	7890	3840	14150	1770
"661"	5490	13590	5310	6310	1670
"662"	2750	4450	5170	16560	3020
"663"	11740	13990	5190	5990	2240
"664"	9670	4790	14240	10830	2340
"665"	2520	5750	21190	6310	1770
"666"	5200	11680	5490	13930	2890
"667"	8710	33210	5170	12040	8540
"668"	2020	29420	8370	14830	3090
"669"	13960	53440	5910	9520	6150
"670"	7830	45130	15660	13270	3140
"671"	6940	37030	25480	4920	1570
"672"	16340	16170	12680	7110	3480
"673"	8440	27820	19320	3160	3140
"674"	11090	8890	3910	5570	2890
"675"	7470	12900	14000	12870	2300
"676"	6030	21310	20100	4250	2260
"677"	11620	54850	5910	14340	2690
"678"	7720	3890	4310	15680	2460
"679"	2160	15890	5910	14940	4690
"680"	6590	16710	21160	3900	3140
"681"	1510	25310	5950	11740	3140
"682"	2240	16710	18960	11320	2890
"683"	7100	12190	27620	4100	1590
"684"	2050	9390	9170	5110	1550
"685"	6720	15350	5160	12940	3140
"686"	7830	36820	5910	11480	2690
"687"	10750	19870	8310	12850	3140
"688"	6490	25710	23670	12160	3490
"689"	4270	20090	5910	5110	3140
"690"	9010	19490	14280	4710	1550
"691"	9990	7380	11480	15680	3140
"692"	8470	34830	19360	9570	5970
"693"	4030	37050	20150	16820	3090
"694"	7770	23190	5910	11530	1560
"695"	9660	17770	16990	7140	3140
"696"	5690	25960	19590	14860	2360
"697"	2460	27960	11990	3310	3890
"698"	7990	12220	18980	5510	3140
"699"	2650	8560	5170	13950	3290
"700"	3800	23450	2960	12340	1860
"701"	1550	21920	17360	3160	1750
"702"	9200	7460	5910	16910	1550
"703"	1500	14100	4160	14740	3090
"704"	6190	24650	16160	19860	1550
"705"	7250	23250	5170	12600	2690
"706"	2190	13240	5370	14760	1790
"707"	4430	17650	7970	5750	8220
"708"	6690	11080	14180	11730	2470
"709"	8810	24450	3290	3680	2340
"710"	2590	24620	5910	7860	3140
"711"	9070	23790	5910	11380	4290
"712"	6970	9140	11650	11710	2360
"713"	5240	15180	5930	6550	1610
"714"	6950	7170	5910	5970	5080
"715"	5280	36070	17710	12540	6290
"716"	8760	4810	7510	12680	3290
"717"	4980	8570	7120	3790	2890
"718"	8410	16230	5210	18330	2690
"719"	9660	16450	19780	11320	3140
"720"	2420	8380	5760	13140	3150
"721"	8320	25250	17360	10780	3140
"722"	3710	26850	3760	10780	3140
